user_id,purchase_history,preferred_categories,budget_range,circular_preference
user_001,"[""76"", ""73"", ""85"", ""4"", ""11"", ""83"", ""55"", ""18"", ""111""]","[""Dairy"", ""Pantry Staples""]",14.11-50.39,true
user_002,"[""42"", ""44"", ""98"", ""113"", ""49"", ""36"", ""97"", ""107"", ""54"", ""33""]","[""Household""]",5.68-55.74,true
user_003,"[""29"", ""84"", ""9"", ""100"", ""6"", ""97"", ""4"", ""32""]","[""Pantry Staples""]",26.75-57.26,true
user_004,"[""86"", ""15"", ""73"", ""28"", ""60"", ""90"", ""33"", ""99"", ""48"", ""22""]","[""Fresh Produce"", ""Snacks"", ""Household""]",38.77-60.8,false
user_005,"[""119"", ""40"", ""74""]","[""Snacks"", ""Bakery"", ""Beverages""]",11.94-65.43,false
user_006,"[""14"", ""90"", ""99"", ""39"", ""109"", ""88""]","[""Fresh Produce"", ""Snacks"", ""Frozen""]",32.39-69.96,true
user_007,"[""85"", ""48"", ""9"", ""65"", ""83"", ""44"", ""2"", ""109"", ""54""]","[""Fresh Produce"", ""Bakery""]",38.63-94.94,false
user_008,"[""91"", ""20"", ""56"", ""23"", ""94"", ""67"", ""84"", ""35"", ""79"", ""104""]","[""Household"", ""Bakery"", ""Snacks""]",33.9-87.41,true
user_009,"[""110"", ""32"", ""107"", ""120"", ""12"", ""36"", ""113"", ""58""]","[""Household""]",24.94-83.37,false
user_010,"[""4"", ""64"", ""109"", ""42"", ""24"", ""63"", ""28"", ""46""]","[""Beverages"", ""Dairy""]",35.81-96.39,false
user_011,"[""72"", ""2"", ""67"", ""25"", ""11"", ""31"", ""93""]","[""Household"", ""Frozen""]",31.54-91.43,false
user_012,"[""58"", ""102"", ""3"", ""12"", ""38"", ""29"", ""52"", ""89"", ""32"", ""40""]","[""Beverages"", ""Bakery"", ""Frozen""]",23.58-66.24,true
user_013,"[""43"", ""46"", ""90"", ""59"", ""35"", ""40"", ""33"", ""30"", ""16"", ""93"", ""25""]","[""Fresh Produce"", ""Beverages""]",23.76-88.3,true
user_014,"[""25"", ""28"", ""95"", ""62"", ""36""]","[""Frozen"", ""Pantry Staples"", ""Fresh Produce""]",15.37-53.83,false
user_015,"[""2"", ""91"", ""69"", ""17"", ""36"", ""6"", ""7""]","[""Frozen"", ""Beverages"", ""Fresh Produce""]",27.33-91.26,false
user_016,"[""112"", ""2"", ""74"", ""37""]","[""Household"", ""Bakery""]",16.92-94.68,false
user_017,"[""111"", ""62"", ""15"", ""106"", ""9"", ""52"", ""63""]","[""Pantry Staples""]",10.31-78.03,true
user_018,"[""11"", ""32"", ""16"", ""72"", ""98"", ""54"", ""78""]","[""Bakery"", ""Snacks"", ""Frozen""]",18.31-92.36,false
user_019,"[""111"", ""76"", ""55"", ""40"", ""73"", ""80"", ""8""]","[""Fresh Produce"", ""Snacks"", ""Household""]",26.89-59.09,false
user_020,"[""21"", ""31"", ""23"", ""71""]","[""Dairy""]",5.09-49.37,false
user_021,"[""38"", ""5"", ""30"", ""37"", ""91"", ""90"", ""111"", ""59"", ""10"", ""88""]","[""Frozen""]",32.57-88.2,true
user_022,"[""55"", ""15"", ""70"", ""29"", ""83"", ""20""]","[""Dairy"", ""Pantry Staples""]",7.09-73.61,false
user_023,"[""57"", ""16"", ""60"", ""89"", ""39"", ""90"", ""52""]","[""Household"", ""Bakery""]",7.82-25.41,true
user_024,"[""95"", ""42"", ""78"", ""33"", ""4"", ""12"", ""30"", ""87"", ""108""]","[""Pantry Staples"", ""Snacks"", ""Beverages""]",33.75-86.21,true
user_025,"[""61"", ""67"", ""84"", ""57"", ""118""]","[""Dairy"", ""Frozen""]",20.26-88.19,false
user_026,"[""61"", ""45"", ""53"", ""43""]","[""Fresh Produce"", ""Snacks""]",10.63-52.39,false
user_027,"[""37"", ""85"", ""52"", ""105"", ""98"", ""71"", ""5"", ""59"", ""12"", ""41""]","[""Beverages"", ""Pantry Staples""]",38.96-80.23,true
user_028,"[""106"", ""1"", ""85"", ""112"", ""70"", ""60"", ""53"", ""7"", ""25"", ""67"", ""47""]","[""Household"", ""Beverages"", ""Bakery""]",31.6-59.83,false
user_029,"[""17"", ""119"", ""37"", ""57"", ""113"", ""90"", ""63"", ""16"", ""4"", ""81"", ""78""]","[""Dairy""]",15.88-31.77,true
user_030,"[""12"", ""29"", ""108"", ""117"", ""15"", ""60"", ""16"", ""83"", ""107""]","[""Household""]",37.64-71.61,false
user_031,"[""54"", ""107"", ""62"", ""61"", ""32"", ""59"", ""71""]","[""Snacks""]",11.67-65.63,false
user_032,"[""111"", ""9"", ""36"", ""99"", ""102""]","[""Beverages"", ""Snacks""]",22.77-91.11,false
user_033,"[""93"", ""39"", ""108"", ""76"", ""75"", ""85"", ""63""]","[""Household""]",23.85-61.28,false
user_034,"[""98"", ""70"", ""49"", ""59"", ""120"", ""42"", ""112"", ""25"", ""90"", ""31"", ""74""]","[""Bakery"", ""Snacks""]",32.14-49.98,false
user_035,"[""91"", ""117"", ""104"", ""49"", ""50"", ""85"", ""102"", ""106"", ""84"", ""20""]","[""Pantry Staples"", ""Fresh Produce""]",22.58-75.94,true
user_036,"[""112"", ""109"", ""57"", ""13""]","[""Household"", ""Pantry Staples"", ""Beverages""]",10.05-81.66,false
user_037,"[""10"", ""61"", ""101"", ""34"", ""44""]","[""Snacks"", ""Beverages"", ""Pantry Staples""]",34.81-105.21,false
user_038,"[""49"", ""41"", ""81"", ""92"", ""114"", ""98"", ""63"", ""112"", ""70"", ""5"", ""80""]","[""Bakery""]",27.09-101.95,false
user_039,"[""96"", ""12"", ""56"", ""13"", ""98"", ""82""]","[""Fresh Produce"", ""Bakery"", ""Household""]",29.29-103.01,false
user_040,"[""42"", ""102"", ""8""]","[""Beverages"", ""Dairy""]",20.07-50.94,false
user_041,"[""73"", ""88"", ""102"", ""24"", ""22"", ""23"", ""11"", ""79"", ""112""]","[""Bakery"", ""Household""]",36.95-61.25,false
user_042,"[""82"", ""33"", ""59"", ""86"", ""2"", ""116"", ""103"", ""60"", ""37"", ""87""]","[""Dairy"", ""Pantry Staples"", ""Bakery""]",38.08-117.28,true
user_043,"[""82"", ""55"", ""89"", ""33"", ""59"", ""109"", ""39""]","[""Snacks""]",34.87-56.8,true
user_044,"[""74"", ""46"", ""38"", ""90"", ""3"", ""107"", ""85"", ""51"", ""36""]","[""Pantry Staples""]",36.87-100.31,false
user_045,"[""100"", ""103"", ""30"", ""78"", ""46"", ""29"", ""82""]","[""Frozen""]",28.72-90.58,false
user_046,"[""81"", ""13"", ""116"", ""83"", ""6""]","[""Household"", ""Pantry Staples""]",25.29-87.89,true
user_047,"[""117"", ""38"", ""42"", ""96""]","[""Dairy"", ""Fresh Produce""]",9.63-59.69,true
user_048,"[""68"", ""65"", ""117"", ""35"", ""107"", ""22"", ""33"", ""106""]","[""Frozen"", ""Beverages""]",35.46-102.74,true
user_049,"[""10"", ""19"", ""97"", ""29"", ""111"", ""87"", ""93"", ""51"", ""109"", ""103""]","[""Beverages"", ""Pantry Staples"", ""Bakery""]",5.49-55.37,true
user_050,"[""48"", ""87"", ""96"", ""34"", ""75"", ""49"", ""106"", ""82"", ""14"", ""30""]","[""Pantry Staples"", ""Frozen""]",35.95-87.44,false
